ID,Titulo,Descripcion Simple,Evaluaciones,Tipo,Precio,URL,Limpieza,Veracidad,Llegada,Comunicacion,Ubicacion,Calidad,Localizacion,Capacidad,Camas,Baños,Dormitorios,Baño Compartido,Wifi,Mascotas,Piscina,Parking,url_img,Latitud,Longitud
1200688382914319681,Magníficas vistas sobre la arena de la playa Wifi,"Alojamiento entero: piso en Guardamar de la Safor, España",59.0,2.0,78.0,https://www.airbnb.es/rooms/31709557?adults=1&category_tag=Tag%3A789&children=0&enable_m3_private_room=true&infants=0&pets=0&photo_id=661906598&search_mode=flex_destinations_search&check_in=2024-04-10&check_out=2024-04-16&source_impression_id=p3_1710967122_NkyB2WbSTggkWJEg&previous_page_section_name=1000,4.9,4.9,5.0,4.8,4.9,4.8,"Guardamar de la Safor, Comunidad Valenciana, España",6.0,5.0,2.0,3.0,0.0,1.0,1.0,1.0,1.0,https://a0.muscache.com/im/pictures/6565c039-11dd-410b-908e-9c25b29b4615.jpg?im_w=720,38.9615238,-0.1488153
5375220911806434689,Melior-1E,"Alojamiento entero: piso en Calp, España",8.0,2.0,83.0,https://www.airbnb.es/rooms/37584336?adults=1&category_tag=Tag%3A789&children=0&enable_m3_private_room=true&infants=0&pets=0&photo_id=1419088652&search_mode=flex_destinations_search&check_in=2024-05-05&check_out=2024-05-10&source_impression_id=p3_1710967165_LxHg3sXSoW3PWPNi&previous_page_section_name=1000,4.9,4.5,4.5,4.8,4.8,4.8,"Calp, España",6.0,3.0,2.0,2.0,0.0,1.0,0.0,0.0,0.0,https://a0.muscache.com/im/pictures/prohost-api/Hosting-37584336/original/4c4efda9-b992-44ef-b5c8-a555040b7f2e.jpeg?im_w=720,38.6443252,0.046012
556517738340669403,VERALUX,"Alojamiento entero: piso en Benidorm, España",20.0,2.0,70.0,https://www.airbnb.es/rooms/46527977?adults=1&category_tag=Tag%3A789&children=0&enable_m3_private_room=true&infants=0&pets=0&photo_id=1097478211&search_mode=flex_destinations_search&check_in=2024-03-22&check_out=2024-03-27&source_impression_id=p3_1710967163_kKxkKQMTv6y6JX4B&previous_page_section_name=1000,3.5,4.6,4.7,4.8,5.0,4.3,"Benidorm, Comunidad Valenciana, España",4.0,3.0,2.0,2.0,0.0,1.0,1.0,1.0,0.0,https://a0.muscache.com/im/pictures/53a4fda7-6bca-4151-952f-4c265ed98b0e.jpg?im_w=720,38.5406255,-0.1290929
8800182335332003755,Isea Calpe,"Alojamiento entero: piso en Calp, España",557.0,2.0,128.0,https://www.airbnb.es/rooms/721277134871448378?adults=1&category_tag=Tag%3A789&children=0&enable_m3_private_room=true&infants=0&pets=0&photo_id=1495138219&search_mode=flex_destinations_search&check_in=2024-03-31&check_out=2024-04-05&source_impression_id=p3_1710967156_fzT8liu3i8tCTdKC&previous_page_section_name=1000,4.73115438108484,4.8147426981919335,4.8408901251738525,4.867315716272601,4.828094575799721,4.685535465924895,"Calp, Comunidad Valenciana, España",4.0,3.0,2.0,2.0,0.0,1.0,0.0,1.0,0.0,https://a0.muscache.com/im/pictures/prohost-api/Hosting-721277134871448378/original/fef55bda-23e5-48af-b605-550160bd9280.jpeg?im_w=720,38.6443252,0.046012
-5036294419472545696,"Apartamento luminoso, internet, Netflix","Alojamiento entero: apto. residencial en Grau i Platja, España",64.0,2.0,85.0,https://www.airbnb.es/rooms/50155790?adults=1&category_tag=Tag%3A789&children=0&enable_m3_private_room=true&infants=0&pets=0&photo_id=1195141353&search_mode=flex_destinations_search&check_in=2024-03-31&check_out=2024-04-05&source_impression_id=p3_1710967158_49JI3FTL95nFkw%2FM&previous_page_section_name=1000,4.9,4.9,4.9,4.9,4.7,4.7,"Grau i Platja, Comunidad Valenciana, España",6.0,6.0,1.0,2.0,0.0,1.0,0.0,1.0,1.0,https://a0.muscache.com/im/pictures/63ba269e-22ed-4ffc-9b99-90ea031c46ad.jpg?im_w=720,38.9934328,-0.1615239
3765214563568425932,Voramar 3 Playa Puerto de Sagunto,"Alojamiento entero: piso en Port de Sagunt, España",8.0,2.0,98.0,https://www.airbnb.es/rooms/920102069611458157?adults=1&category_tag=Tag%3A789&children=0&enable_m3_private_room=true&infants=0&pets=0&photo_id=1681778266&search_mode=flex_destinations_search&check_in=2024-04-26&check_out=2024-05-01&source_impression_id=p3_1710967159_ufBy1mjLPr%2B09SxL&previous_page_section_name=1000,4.8,5.0,5.0,5.0,5.0,4.9,"Port de Sagunt, Comunidad Valenciana, España",5.0,4.0,2.0,2.0,0.0,1.0,0.0,0.0,1.0,https://a0.muscache.com/im/pictures/miso/Hosting-919538013641252381/original/0908fbe1-baa2-4f1e-b9f6-7fa8c2ac8eb9.jpeg?im_w=720,39.6631732,-0.2208575
2769223886427212663,Primera linea de playa adaptado movilidad reducida,"Alojamiento entero: piso en Benidorm, España",16.0,2.0,94.0,https://www.airbnb.es/rooms/44026735?adults=1&category_tag=Tag%3A789&children=0&enable_m3_private_room=true&infants=0&pets=0&photo_id=1408091021&search_mode=flex_destinations_search&check_in=2024-05-15&check_out=2024-05-22&source_impression_id=p3_1710967159_ysju4iSoRlpJiFuc&previous_page_section_name=1000,4.8,4.8,4.9,4.8,5.0,4.6,"Benidorm, Comunidad Valenciana, España",5.0,4.0,1.0,3.0,0.0,1.0,0.0,1.0,1.0,https://a0.muscache.com/im/pictures/prohost-api/Hosting-44026735/original/03b569a9-92e8-4559-b13a-242cd5b58a01.jpeg?im_w=720,38.5406255,-0.1290929
8689080550819187113,3) Amplia hab. a pasos de playa.,"Habitación en Donostia, España",8.0,2.0,120.0,https://www.airbnb.es/rooms/886186959137688064?adults=1&category_tag=Tag%3A789&children=0&enable_m3_private_room=true&infants=0&pets=0&photo_id=1693121021&search_mode=flex_destinations_search&check_in=2024-07-01&check_out=2024-07-06&source_impression_id=p3_1710967164_qidfEjBj9BLciHsf&previous_page_section_name=1000,4.5,4.8,4.9,4.8,5.0,4.4,"Donostia, Euskadi, España",5.619834710743802,1.0,2.033012379642366,2.4655414908579467,1.0,1.0,0.0,0.0,0.0,https://a0.muscache.com/im/pictures/79412a19-c490-4a6b-a331-c8c322944250.jpg?im_w=720,43.3224219,-1.9838889
-2498811209296481166,Una casa en primera línea de playa (VT-46948-V),"Alojamiento entero: piso en Playa, España",54.0,2.0,104.0,https://www.airbnb.es/rooms/28068305?adults=1&category_tag=Tag%3A789&children=0&enable_m3_private_room=true&infants=0&pets=0&photo_id=1262226739&search_mode=flex_destinations_search&check_in=2024-04-22&check_out=2024-04-27&source_impression_id=p3_1710967159_YMTAeDCN1IcJ4aoI&previous_page_section_name=1000,5.0,5.0,5.0,4.9,4.9,4.9,"Playa, Comunidad Valenciana, España",6.0,4.0,2.0,3.0,0.0,1.0,0.0,0.0,1.0,https://a0.muscache.com/im/pictures/e78af438-994a-46eb-8fe8-da1c3a45f78e.jpg?im_w=720,40.0126771,-0.3069091
-266642410705035547,Amatista Beachfront Departamento,"Alojamiento entero: piso en Calpe, España",31.0,2.0,80.0,https://www.airbnb.es/rooms/41498026?adults=1&category_tag=Tag%3A789&children=0&enable_m3_private_room=true&infants=0&pets=0&photo_id=953072116&search_mode=flex_destinations_search&check_in=2024-05-14&check_out=2024-05-21&source_impression_id=p3_1710967156_zi2LJvNXjf7pYT0n&previous_page_section_name=1000,4.8,4.8,5.0,4.9,4.9,4.7,"Calpe, Comunidad Valenciana, España",3.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,https://a0.muscache.com/im/pictures/208661c7-ce6e-4d9f-9511-e620da4f9c37.jpg?im_w=720,38.6443252,0.046012
